Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load
32.30011392,1,0.537774444,3.213635445
32.3500032,1,0.538703442,3.22311759
32.40001536,1,0.539429009,3.233075857
32.45002752,1,0.540371597,3.242135286
32.50003968,1,0.541124284,3.252636433
32.55005184,1,0.542019367,3.260930538
32.600064,1,0.542826295,3.271791697
32.65007616,1,0.543680727,3.28018117
32.70008832,1,0.54452157,3.290744066
32.75010048,1,0.545301378,3.299442768
32.80011264,1,0.546203256,3.309718609
32.85000192,1,0.546935618,3.319353819
32.90001408,1,0.547871351,3.329016685
32.95002624,1,0.548610508,3.339000463
33.0000384,1,0.549539506,3.348086119
33.05005056,1,0.550298989,3.358766794
33.10006272,1,0.551180482,3.367040634
33.15007488,1,0.551994205,3.377674341
33.20008704,1,0.552794397,3.38618207
33.2500992,1,0.55368948,3.396785975
33.30011136,1,0.554462492,3.405951262
33.35000064,1,0.55539149,3.416160107
33.4000128,1,0.556117058,3.425563097
33.45002496,1,0.557052851,3.434519053
33.50003712,1,0.557798743,3.444505692
33.55004928,1,0.558700621,3.453114271
33.60006144,1,0.559487224,3.463830233
33.6500736,1,0.560334861,3.472584009
33.70008576,1,0.561196029,3.483043909
33.75009792,1,0.561969101,3.49202013
33.80011008,1,0.56288451,3.501813412
33.85012224,1,0.563637197,3.511422396
33.90001152,1,0.56457299,3.520440578
33.95002368,1,0.565312088,3.530712366
34.00003584,1,0.566227555,3.539319992
34.050048,1,0.566973448,3.549911261
34.10006016,1,0.567821085,3.558415413
34.15007232,1,0.568661928,3.568741322
34.20008448,1,0.569455326,3.577275515
34.25009664,1,0.570363939,3.587740898
34.3001088,1,0.571123421,3.597247124
34.35012096,1,0.572059214,3.60648036
34.40001024,1,0.572791576,3.616544247
34.4500224,1,0.573713779,3.6254251
