Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,MD_N_cycles--1,MD_Displacement--1,MD_Load--1,u--1,v--1,exx--1,eyy--1,exy--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,,0.520134,435.308042,,,,,0.0306725,-0.269038,-0.00198254,0.00476256,1.78e-06,,,,,,,,,20,,,
,,0.528767,436.322725,,,,,0.0317567,-0.270723,-0.00199721,0.00478974,-2.43e-06,,,,,,,,,20,,,
,,0.526576,435.388573,,,,,0.0300941,-0.272068,-0.00201582,0.0048098,-1.02e-05,,,,,,,,,20,,,
,,0.521293,441.766581,,,,,0.0293156,-0.27377,-0.00204777,0.00483652,-1.06e-05,,,,,,,,,20,,,
,,0.531408,442.088703,,,,,0.030202,-0.275333,-0.00207364,0.00485759,-4.33e-06,,,,,,,,,20,,,
,,0.542038,446.678936,,,,,0.0315279,-0.276869,-0.00210795,0.00488118,5.29e-06,,,,,,,,,20,,,
,,0.528509,447.77415,,,,,0.0307879,-0.278478,-0.00213066,0.00491119,1.86e-05,,,,,,,,,20,,,
,,0.538559,450.544396,,,,,0.0292939,-0.280211,-0.00215498,0.00493973,2.49e-05,,,,,,,,,20,,,
,,0.549769,451.687928,,,,,0.0310544,-0.28214,-0.00216294,0.0049759,3.54e-05,,,,,,,,,20,,,
,,0.553119,457.486118,,,,,0.032943,-0.283541,-0.00215391,0.00500828,5.75e-05,,,,,,,,,20,,,
,,0.553183,459.547696,,,,,0.0311133,-0.28504,-0.00215084,0.00503554,6.29e-05,,,,,,,,,20,,,
,,0.559626,462.962186,,,,,0.0299702,-0.286716,-0.00217344,0.00507209,5.39e-05,,,,,,,,,20,,,
,,0.549705,462.768913,,,,,0.0313886,-0.288481,-0.00216875,0.00510522,5.56e-05,,,,,,,,,20,,,
,,0.557758,467.343041,,,,,0.0330516,-0.290184,-0.002161,0.00513141,5.17e-05,,,,,,,,,20,,,
,,0.565489,467.938966,,,,,0.0325846,-0.291676,-0.00219152,0.00515994,5.1e-05,,,,,,,,,20,,,
,,0.57032,473.704944,,,,,0.0309216,-0.292996,-0.00218343,0.00518864,6.19e-05,,,,,,,,,20,,,
,,0.568323,472.029911,,,,,0.0340764,-0.296349,-0.00216706,0.00524763,4.41e-05,,,,,,,,,20,,,
,,0.586684,478.456238,,,,,0.0330242,-0.297776,-0.00217712,0.00527326,4.16e-05,,,,,,,,,20,,,
,,0.577922,480.727196,,,,,0.0314776,-0.299352,-0.00220116,0.00530387,3.49e-05,,,,,,,,,20,,,
,,0.58269,483.207533,,,,,0.0327278,-0.301023,-0.00218315,0.00533338,3.92e-05,,,,,,,,,20,,,
,,0.585202,482.531078,,,,,0.0341483,-0.302644,-0.00220955,0.00536791,4.29e-05,,,,,,,,,20,,,
,,0.587264,486.122734,,,,,0.0338649,-0.303999,-0.00222028,0.00540471,4.24e-05,,,,,,,,,20,,,
,,0.597572,490.680756,,,,,0.0331909,-0.305864,-0.00225371,0.00545067,4.36e-05,,,,,,,,,20,,,
,,0.608717,491.550485,,,,,0.0337032,-0.307712,-0.00225896,0.00550846,5.74e-05,,,,,,,,,20,,,
,,0.601051,495.045505,,,,,0.0358349,-0.309371,-0.0022933,0.00554876,5.62e-05,,,,,,,,,20,,,
,,0.59886,495.577006,,,,,0.0354836,-0.310921,-0.0023032,0.00559195,5.67e-05,,,,,,,,,20,,,
,,0.602146,498.927071,,,,,0.0337422,-0.312762,-0.00235435,0.00561558,4.43e-05,,,,,,,,,20,,,
,,0.608202,499.088132,,,,,0.0349567,-0.314494,-0.0023726,0.00564571,2.59e-05,,,,,,,,,20,,,
,,0.61516,505.240657,,,,,0.0362298,-0.315968,-0.00240278,0.00566794,1.92e-05,,,,,,,,,20,,,
,,0.614322,509.782572,,,,,0.0352494,-0.317725,-0.00246414,0.00569522,-6.18e-06,,,,,,,,,20,,,
,,0.618767,507.511614,,,,,0.034378,-0.319617,-0.00246329,0.00573109,8.58e-06,,,,,,,,,20,,,
,,0.621409,513.583609,,,,,0.0352723,-0.321558,-0.00247192,0.00576512,-2.39e-05,,,,,,,,,20,,,
,,0.622697,513.519184,,,,,0.0375895,-0.323288,-0.0024689,0.00579422,-2.46e-05,,,,,,,,,20,,,
,,0.630428,515.065368,,,,,0.0379209,-0.324814,-0.0024488,0.00583082,-2.35e-05,,,,,,,,,20,,,
,,0.634616,522.941244,,,,,0.0366859,-0.326634,-0.00244854,0.00587276,-3.66e-05,,,,,,,,,20,,,
,,0.636806,523.32779,,,,,0.038413,-0.32845,-0.00242773,0.0059038,-3.03e-05,,,,,,,,,20,,,
,,0.637773,524.06867,,,,,0.0403487,-0.33014,-0.00236074,0.00593444,-2.54e-05,,,,,,,,,20,,,
,,0.640478,525.341051,,,,,0.0382318,-0.331654,-0.00230608,0.00595399,-1.71e-05,,,,,,,,,20,,,
,,0.643828,528.707223,,,,,0.0353966,-0.333168,-0.0022792,0.00598786,-1.57e-05,,,,,,,,,20,,,
,,0.647629,532.604896,,,,,0.0349177,-0.334858,-0.00228569,0.0060164,-1.87e-05,,,,,,,,,20,,,
,,0.660772,533.812852,,,,,0.036973,-0.3384,-0.00237818,0.00607496,2.05e-05,,,,,,,,,20,,,
,,0.6571,539.691573,,,,,0.03591,-0.340119,-0.00242318,0.00611082,4.52e-05,,,,,,,,,20,,,
,,0.651366,539.611043,,,,,0.0373261,-0.342017,-0.00244755,0.00614161,6.67e-05,,,,,,,,,20,,,
,,0.656327,541.012273,,,,,0.040353,-0.343814,-0.00247213,0.00617166,6.97e-05,,,,,,,,,20,,,
,,0.675783,544.426763,,,,,0.039298,-0.345725,-0.00249166,0.00618934,5.95e-05,,,,,,,,,20,,,
,,0.672691,548.920361,,,,,0.0366357,-0.347291,-0.00251278,0.0061951,7.01e-06,,,,,,,,,20,,,
