Crack_length,Load,u,N_cycles,Specimen_name
38.6121,72.498819,2.085313,600005,
38.6121,72.522433,2.083503,600006,
38.6121,71.842973,2.080024,650001,
38.6121,72.025182,2.088988,650002,
38.7551,72.038332,2.080429,650003,
38.7551,71.974196,2.085742,650004,
38.7551,71.812918,2.081173,650005,
38.7551,71.98171,2.086846,650006,
38.7551,71.368264,2.084682,700001,
38.7551,71.287223,2.084615,700002,
38.7551,71.29742,2.084419,700003,
38.7551,71.222014,2.084284,700004,
38.7551,71.167539,2.08508,700005,
38.7551,71.125408,2.081248,700006,
38.7551,70.797486,2.0833,750001,
38.7551,71.185518,2.085253,750002,
38.7551,70.794265,2.083232,750003,
38.7551,71.019947,2.081526,750004,
38.7551,71.010555,2.084878,750005,
38.7551,71.004651,2.084487,750006,
38.8981,70.662506,2.083638,800001,
38.8981,70.514377,2.083112,800002,
38.8981,70.501497,2.081143,800003,
38.8981,70.559192,2.083352,800004,
38.8981,70.753745,2.085171,800005,
38.8981,70.599712,2.086448,800006,
38.8981,70.255689,2.078724,850001,
38.8981,70.429311,2.081098,850002,
38.8981,70.313921,2.085621,850003,
38.8981,70.38718,2.08076,850004,
38.8981,70.552214,2.08617,850005,
38.8981,70.767699,2.08771,850006,
39.0411,70.091459,2.08363,900001,
39.0411,70.180551,2.086335,900002,
39.0411,69.915959,2.079099,900003,
39.0411,69.960773,2.082804,900004,
39.0411,69.82794,2.081737,900005,
39.0411,70.215973,2.085171,900006,
39.0411,69.949771,2.084216,950001,
39.0411,70.008539,2.082188,950002,
39.0411,69.877317,2.081376,950003,
39.0411,69.739922,2.084494,950004,
39.0411,70.047987,2.082781,950005,
39.0411,69.935548,2.08493,950006,
