stress_ratio,cycles_to_failure,stress_max,stress_lowerbound,stress_upperbound
0.1,920000,145.8334387258669,158.94502693813556,120.702622768329
0.1,930000,145.64013412406604,158.7861643951632,120.39785798116732
0.1,940000,145.44889699078993,158.62918507448728,120.0961686478264
0.1,950000,145.25968356885286,158.4740451570274,119.7974936388907
0.1,960000,145.07245147569142,158.32070232806697,119.50177361751456
0.1,970000,144.8871596463826,158.1691157095053,119.20895097050399
0.1,980000,144.70376827958472,158.01924579585932,118.91896974265617
0.1,990000,144.52223878622186,157.87105439377217,118.63177557417582
0.1,1000000,144.34253374074757,157.7245045648025,118.34731564099476
0.1,1010000,144.1646168348335,157.57956057128396,118.06553859783767
0.1,1020000,143.9884528333389,157.43618782505743,117.78639452388627
0.1,1030000,143.81400753242883,157.2943528389009,117.50983487089881
0.1,1040000,143.64124771971498,157.15402318048538,117.2358124136545
0.1,1050000,143.47014113630445,157.01516742870106,116.96428120260437
0.1,1060000,143.30065644064658,156.87775513221544,116.69519651860233
0.1,1070000,143.13276317407764,156.74175677011888,116.42851482962072
0.1,1080000,142.966431727968,156.60714371454387,116.16419374933602
0.1,1090000,142.8016333123833,156.4738881951307,115.90219199749941
0.1,1100000,142.63833992617683,156.34196326524003,115.64246936199257
0.1,1110000,142.4765243284349,156.2113427698056,115.38498666248913
0.1,1120000,142.31616001120324,156.0820013147341,115.12970571564037
0.1,1130000,142.1572211734252,155.95391423776675,114.87658930170728
0.1,1140000,141.99968269602826,155.82705758071342,114.62560113257199
0.1,1150000,141.8435201180985,155.70140806299074,114.37670582105676
0.1,1160000,141.68870961408652,155.5769430563858,114.1298688514899
0.1,1170000,141.53522797199162,155.45364056097966,113.8850565514585
0.1,1180000,141.38305257247438,155.33147918217017,113.64223606468933
0.1,1190000,141.23216136885074,155.2104381087295,113.40137532500715
0.1,1200000,141.08253286792296,155.09049709184666,113.16244303131792
0.1,1210000,140.93414611160608,154.97163642509773,112.92540862357029
0.1,1220000,140.78698065931044,154.85383692529953,112.69024225964806
0.1,1230000,140.6410165710437,154.73707991419678,112.45691479315381
0.1,1240000,140.49623439119642,154.62134720094184,112.2253977520407
0.1,1250000,140.35261513297917,154.5066210653255,111.99566331805472
0.1,1260000,140.21014026347987,154.39288424172162,111.76768430695122
0.1,1270000,140.06879168931124,154.28011990370825,111.54143414945077
0.1,1280000,139.92855174282175,154.16831164933188,111.31688687290175
0.1,1290000,139.7894031688426,154.05744348698386,111.09401708361857
0.1,1300000,139.65132911194658,153.9474998218563,110.87279994986656
0.1,1310000,139.51431310419534,153.83846544295355,110.65321118546329
0.1,1320000,139.37833905335225,153.7303255106269,110.4352270339731
0.1,1330000,139.24339123154013,153.62306554461142,110.21882425346695
0.1,1340000,139.10945426432406,153.51667141253986,110.00398010182406
0.1,1350000,138.97651312019957,153.4111293189099,109.79067232255295
0.1,1360000,138.84455310046928,153.30642579448494,109.57887913111078
0.1,1370000,138.71355982948984,153.20254768610815,109.36857920169685
